Time            Diameter        States Found    Distinct States Queue Size      
0:00:00         0               1               1               1               
0:00:03         14              53627           23132           15352           
0:01:03         17              2219520         877366          578527          
0:02:03         18              4359147         1681943         1091806         
0:03:03         18              6487077         2460477         1592842         
0:04:03         18              8623665         3232794         2084658         
0:05:03         19              10764940        4015661         2569074         
0:06:03         19              12864598        4736512         2995369         
0:07:03         19              14941372        5485037         3470019         
0:08:03         19              17074138        6193431         3917798         
0:09:03         19              19150376        6922779         4356899         
0:10:03         19              21234288        7672642         4825031         
0:11:03         19              23350740        8393863         5273037         
0:12:03         19              25494464        9089445         5684530         
0:13:03         20              27556902        9821676         6134916         
0:14:03         20              29660760        10564635        6574790         
0:15:03         20              31707217        11211943        6925473         
0:16:03         20              33779949        11912655        7334160         
0:17:03         20              35853155        12587782        7725191         
0:18:03         20              37889337        13296611        8152176         
0:19:03         20              39952787        14006892        8592331         
0:20:03         20              42026552        14710997        9046311         
0:21:03         20              44069006        15361246        9453280         
0:22:03         20              46179457        15980661        9801640         
0:23:03         20              48245981        16701364        10229670        
0:24:03         20              50276668        17371328        10619259        
0:25:03         20              52309500        18038908        10992739        
0:26:03         20              54371706        18748425        11430637        
0:27:03         20              56354371        19408514        11809860        
0:28:03         20              58416337        20091146        12201821        
0:29:03         20              60560586        20802339        12649788        
0:30:03         20              62679917        21426395        12998367        
0:31:03         20              64715154        22021481        13331760        
0:32:03         20              66809074        22701199        13727455        
0:33:03         20              68876302        23413347        14144196        
0:34:03         20              70965479        24129309        14603672        
0:35:03         21              72938087        24796219        14991297        
0:36:03         21              74975211        25459442        15328942        
0:37:03         21              77065884        26161891        15740319        
0:38:03         21              79122565        26812942        16095023        
0:39:03         21              81083732        27404959        16396465        
0:40:03         21              83125947        28004880        16681325        
0:41:03         21              85145610        28687499        17084148        
0:42:03         21              87192148        29346935        17461768        
0:43:03         21              89261162        29972698        17792312        
0:44:03         21              91203079        30584389        18134986        
0:45:03         21              93240790        31228313        18513215        
0:46:03         21              95293524        31934503        18915247        
0:47:03         21              97360080        32600072        19296687        
0:48:03         21              99372863        33280536        19719447        
0:49:03         21              101337106       33899481        20076876        
0:50:03         21              103352273       34569858        20481432        
0:51:03         21              105409663       35224468        20884157        
0:52:03         21              107450004       35868729        21277479        
0:53:03         21              109494461       36473566        21626116        
0:54:03         21              111505954       37076504        21988805        
0:55:03         21              113538607       37688363        22352002        
0:56:03         21              115631564       38249570        22641016        
0:57:03         21              117696750       38824092        22943686        
0:58:03         21              119682472       39441495        23287683        
0:59:03         21              121713498       40131822        23673591        
1:00:03         21              123694556       40770316        24032841        
1:01:03         21              125739310       41381066        24354326        
1:02:03         21              127790769       42062498        24750472        
1:03:03         21              129799282       42652562        25052850        
1:04:03         21              131792472       43309471        25416419        
1:05:03         21              133762262       43946398        25776522        
1:06:03         21              135696335       44582047        26153706        
1:07:03         21              137751856       45230708        26531270        
1:08:03         21              139779114       45820451        26843148        
1:09:03         21              141779893       46487639        27199697        
1:10:03         21              143729928       47098438        27522432        
1:11:03         21              145723791       47696520        27811947        
1:12:03         21              147700066       48348465        28218381        
1:13:03         21              149816351       49005036        28615182        
1:14:03         21              151907268       49639633        28983848        
1:15:03         21              153944870       50208061        29290645        
1:16:03         21              156015427       50778438        29582158        
1:17:03         21              158087233       51355442        29889529        
1:18:03         21              160135297       51932995        30193578        
1:19:03         21              162090065       52485944        30491920        
1:20:03         21              164167079       53073372        30820797        
1:21:03         21              166209139       53741757        31202568        
1:22:03         21              168228479       54459258        31632164        
1:23:03         21              170229915       55092277        31966960        
1:24:03         21              172279009       55786749        32385617        
1:25:03         21              174311054       56475349        32831242        
1:26:03         21              176356300       57119862        33217524        
1:27:03         21              178282193       57736489        33596383        
1:28:03         21              180267281       58379552        33960227        
1:29:03         22              182286091       59017148        34302194        
1:30:04         22              184267778       59601551        34568016        
1:31:04         22              186253681       60216014        34844210        
1:32:04         22              188304910       60872986        35204468        
1:33:04         22              190363375       61505547        35539222        
1:34:04         22              192283483       62093157        35846833        
1:35:04         22              194293028       62710315        36173712        
1:36:04         22              196265737       63257511        36419692        
1:37:04         22              198241018       63805177        36670992        
1:38:04         22              200217656       64360302        36911142        
1:39:04         22              202191474       64915720        37154803        errors: 0, warnings: 0, exit_state: 0

1:40:04         22              204151112       65484842        37409645        
1:41:04         22              206041856       66139098        37825277        
1:42:04         22              208029572       66778429        38188719        
1:43:04         22              210015039       67392517        38527362        
1:44:04         22              212016854       68007546        38860890        
1:45:04         22              214038644       68639254        39223917        
1:46:04         22              216059978       69218794        39508911        
1:47:04         22              218099272       69757189        39734124        
1:48:04         22              220090810       70360127        40052153        
1:49:06         22              222036663       70958862        40394231        
1:50:06         22              224039332       71553533        40735096        
1:51:06         22              226006174       72146838        41063935        
1:52:06         22              228011534       72766843        41385753        
1:53:06         22              230010647       73430299        41745982        
1:54:06         22              232049084       74081643        42094802        
1:55:06         22              234095263       74681330        42398621        
1:56:06         22              236083380       75294058        42736929        
1:57:06         22              238056387       75935770        43139338        
1:58:06         22              239946237       76510532        43476340        
1:59:06         22              241916980       77152239        43839695        
2:00:07         22              243948080       77778452        44189219        
2:01:07         22              245932953       78345830        44487782        
2:02:07         22              247918795       78925801        44788569        
2:03:07         22              249861375       79567959        45165568        
2:04:07         22              251849866       80189745        45544632        
2:05:07         22              253858729       80778842        45881396        
2:06:07         22              255867097       81359580        46206193        
2:07:07         22              257752185       81916981        46529419        
2:08:07         22              259751027       82498573        46857695        
2:09:07         22              261766215       83100727        47210595        
2:10:07         22              263756373       83634595        47480499        
2:11:07         22              265765203       84198867        47793014        
2:12:07         22              267800402       84771103        48113556        
2:13:07         22              269851238       85316878        48406822        
2:14:07         22              271884716       85923400        48765077        
2:15:07         22              273823101       86501174        49104807        
2:16:07         22              275798793       87039902        49388662        
2:17:07         22              277758644       87525063        49614149        
2:18:07         22              279799626       88037221        49851804        
2:19:07         22              281774620       88554237        50102331        
2:20:07         22              283808520       89088659        50367521        
2:21:07         22              285760388       89644073        50659018        
2:22:07         22              287686127       90215058        50950883        
2:23:07         22              289613471       90814409        51275387        
2:24:07         22              291633765       91487180        51645958        
2:25:07         22              293601112       92108005        51954418        
2:26:07         22              295464437       92679501        52250830        
2:27:07         22              297513782       93291098        52570932        
2:28:07         22              299505340       93862068        52852207        
2:29:07         22              301503026       94418578        53137304        
2:30:07         22              303518594       95018990        53446816        
2:31:07         22              305490153       95656177        53789233        
2:32:07         22              307530894       96291292        54170322        
2:33:07         22              309516204       96847870        54451696        
2:34:07         22              311411299       97370115        54673835        
2:35:07         22              313422797       97985162        55011449        
2:36:07         22              315232407       98577520        55319115        
2:37:07         22              317150929       99172844        55636306        
2:38:07         22              319078298       99751576        55934902        
2:38:37         22              319890347       100000023       56068527        
