Time            Diameter        States Found    Distinct States Queue Size      
2:12:05         16              59809683        22046005        15831256        
2:13:05         16              60254652        22207239        15947683        
2:14:05         16              60702111        22361403        16057834        
2:15:05         16              61161337        22528093        16173355        
2:16:05         16              61616639        22681909        16278671        
2:17:05         16              62065035        22832395        16382506        
2:18:05         16              62494348        22982091        16488887        
2:19:05         16              62935033        23130592        16593338        
2:20:05         16              63382612        23288972        16702303        
2:21:05         16              63814679        23440006        16807057        
2:22:05         16              64229581        23590809        16916098        
2:23:05         16              64652191        23751818        17032508        
2:24:05         16              65097972        23916736        17149090        
2:25:05         16              65520966        24066568        17256006        
2:26:05         16              65944436        24215174        17363091        
2:27:05         16              66366475        24368042        17474014        
2:28:05         16              66785266        24514353        17579572        
2:29:05         16              67214120        24668920        17690679        
2:30:05         16              67656684        24822373        17800103        
2:31:05         16              68089945        24979404        17911307        
2:32:05         16              68500611        25118879        18009622        
2:33:05         16              68924509        25268003        18115464        
2:34:05         16              69355532        25401277        18205727        
2:35:05         16              69804523        25561612        18315098        
2:36:05         16              70247508        25717478        18424224        
2:37:05         16              70701432        25877635        18538560        
2:38:05         16              71133188        26028166        18646203        
2:39:05         16              71581428        26184748        18756839        
2:40:05         16              72037014        26346338        18872138        
2:41:05         16              72476926        26492062        18974350        
2:42:05         16              72910416        26631345        19070794        
2:43:05         16              73339393        26780947        19175362        
2:44:05         16              73762479        26923629        19275663        
2:45:05         16              74215200        27084841        19393963        
2:46:05         16              74661879        27243517        19507094        
2:47:05         16              75121516        27408861        19624987        
2:48:05         16              75562801        27559508        19731131        
2:49:05         16              75994518        27717908        19842782        
2:50:05         16              76435941        27873220        19952372        
2:51:05         16              76848372        28020969        20059832        
2:52:05         16              77291544        28186119        20177866        
2:53:05         16              77725180        28335574        20282178        
2:54:05         16              78170521        28507556        20405258        
2:55:05         16              78593819        28664746        20518831        
2:56:07         16              79016314        28818322        20629436        
2:57:07         17              79457471        28986309        20746262        
2:58:07         17              79872561        29153917        20866324        
2:59:07         17              80315575        29323690        20987965        
3:00:07         17              80731985        29472965        21093583        
3:01:07         17              81147228        29638931        21214489        
3:02:07         17              81588441        29796540        21324583        
3:03:07         17              82020935        29962426        21440598        
3:04:07         17              82471800        30130047        21554863        
3:05:07         17              82916428        30285761        21659466        
3:06:07         17              83359184        30436414        21760794        
3:07:07         17              83783618        30585922        21863960        
