Time            Diameter        States Found    Distinct States Queue Size      
0:00:00         0               1               1               1               
0:00:03         12              55302           24968           16759           
0:01:03         16              3039843         1193540         764743          
0:02:03         17              6000937         2281432         1451668         
0:03:03         17              8919204         3331252         2083887         
0:04:03         17              11778512        4338013         2722063         
0:05:03         18              14804998        5319136         3297603         
0:06:03         18              17740570        6396929         3941545         
0:07:03         18              20642739        7409747         4546620         
0:08:03         18              23498656        8390469         5142604         
0:09:03         18              26305480        9308482         5672405         
0:10:03         18              29113744        10288744        6299839         
0:11:03         18              31922820        11179209        6844219         
0:12:03         18              34905923        12069712        7349362         
0:13:03         19              37986291        12950469        7804899         
0:14:03         19              40796650        13993710        8448524         
0:15:03         19              43689327        15036728        9072488         
0:16:03         19              46607877        16023775        9610017         
0:17:03         19              49480758        17029078        10224199        
0:18:03         19              52298619        17946003        10742922        
0:19:03         19              55209176        18895360        11278806        
0:20:03         19              58007322        19838780        11859136        
0:21:03         19              60787060        20705963        12360292        
0:22:03         19              63629745        21583107        12834333        
0:23:03         19              66369050        22487216        13380639        
0:24:03         19              69317322        23384576        13878851        
0:25:03         19              72041177        24282875        14437555        
0:26:03         19              74675762        25141766        14967647        
0:27:03         19              77442795        26005542        15490464        
0:28:03         19              80281475        26845095        15971418        
0:29:03         19              83132525        27622639        16389342        
0:30:03         19              85909414        28383581        16798578        
0:31:03         19              88921159        29224817        17220423        
0:32:03         19              91925920        29998431        17587502        
0:33:03         20              94988214        30802761        17960440        
0:34:03         20              97855767        31819840        18542413        
0:35:03         20              100576651       32808390        19147029        
0:36:03         20              103421498       33793190        19724298        
0:37:03         20              106295801       34763888        20270682        
0:38:03         20              109135018       35751319        20834816        
0:39:03         20              111989656       36673371        21305960        
0:40:03         20              114868523       37592548        21771474        
0:41:03         20              117505103       38535138        22396198        
0:42:03         20              120305685       39490119        22960405        
0:43:03         20              123121450       40386050        23455673        
0:44:03         20              126030845       41266343        23903833        
0:45:03         20              128884613       42161662        24395649        
0:46:03         20              131793410       43080915        24907190        
0:47:03         20              134587067       43969503        25407484        
0:48:03         20              137338519       44839143        25896489        
0:49:03         20              140075933       45718380        26416707        
0:50:03         20              142843053       46603162        26951715        
0:51:03         20              145633856       47483590        27480557        
0:52:03         20              148490595       48310741        27959393        
0:53:03         20              151300994       49144711        28402116        
0:54:03         20              153943719       49917822        28793794        
0:55:03         20              156731764       50733063        29226090        
0:56:03         20              159438888       51576890        29699038        
0:57:03         20              162237380       52423276        30180793        
0:58:03         20              164911959       53286453        30724252        
0:59:03         20              167809903       54133813        31181006        
1:00:04         20              170735495       54972698        31626568        
1:01:04         20              173267750       55771621        32101071        
1:02:04         20              175970242       56578342        32557254        
1:03:04         20              178675296       57382974        33013164        
1:04:04         20              181333129       58162860        33458817        
1:05:04         20              184052104       58969320        33911148        
1:06:04         20              186800302       59757619        34337582        
1:07:04         20              189485967       60543210        34792611        
1:08:04         20              192096528       61244877        35161577        
1:09:04         20              194860072       62016883        35582729        
1:10:04         20              197665124       62772674        35971725        
1:11:04         20              200490664       63507216        36342448        
1:12:04         20              203292422       64215152        36684332        
1:13:04         20              206069804       64904313        37017241        
1:14:04         20              208917016       65612066        37351541        
1:15:04         20              211834889       66389191        37705973        
1:16:04         20              214638745       67123986        38044137        
1:17:04         20              217564026       67854573        38378652        
1:18:04         20              220521430       68566765        38686157        
1:19:04         20              223501383       69300508        38986351        
1:20:04         20              226490418       70017596        39288289        
1:21:04         21              229355661       71003805        39802191        
1:22:04         21              232168748       71913661        40279924        
1:23:04         21              234961535       72835544        40789914        
1:24:04         21              237678417       73822466        41404177        
1:25:04         21              240372481       74730848        41920325        
1:26:04         21              243152704       75636613        42428526        
1:27:04         21              245921806       76539877        42923825        
1:28:04         21              248710930       77453172        43405101        
1:29:04         21              251539385       78296570        43828853        
1:30:04         21              254374168       79253392        44337167        
1:31:04         21              257193391       80176300        44810453        
1:32:04         21              259918374       81099520        45348066        
1:33:04         21              262728731       82035430        45871667        
1:34:04         21              265524035       82860340        46225987        
1:35:04         21              268130464       83653983        46635882        
1:36:04         21              270978098       84521427        47046335        
1:37:04         21              273645368       85468287        47637837        
1:38:04         21              276366558       86382403        48221746        
1:39:04         21              279159230       87273646        48771627        errors: 0, warnings: 0, exit_state: 0

1:40:04         21              281995452       88151071        49272725        
1:41:04         21              284698502       89011968        49735679        
1:42:04         21              287417243       89871865        50195140        
1:43:04         21              290198997       90691410        50608196        
1:44:04         21              293020208       91489860        50981142        
1:45:04         21              295777955       92263491        51322080        
1:46:04         21              298582699       93109009        51758304        
1:47:04         21              301546890       93902307        52090832        
1:48:04         21              304203992       94830544        52687430        
1:49:04         21              306969895       95736213        53239860        
1:50:04         21              309835879       96582925        53694318        
1:51:04         21              312685870       97443530        54127569        
1:52:04         21              315359153       98251388        54573864        
1:53:04         21              318124676       99093357        55036127        
1:54:04         21              320955945       99936012        55482409        
1:54:13         21              321158078       100000010       55517579        
