Time            Diameter        States Found    Distinct States Queue Size      
0:00:00         0               1               1               1               
0:00:03         12              19359           8395            5524            
0:01:03         15              582215          239723          158866          
0:02:03         16              1097308         449236          298746          
0:03:03         16              1616489         649586          429506          
0:04:03         17              2135664         850604          552090          
0:05:03         17              2619822         1038454         676457          
0:06:03         17              3113365         1231504         805302          
0:07:03         17              3601954         1422869         937778          
0:08:03         17              4108244         1600438         1048468         
0:09:03         17              4599069         1781454         1162585         
0:10:03         18              5116177         1966384         1259969         
0:11:03         18              5602616         2151014         1372072         
0:12:03         18              6080182         2332231         1488316         
0:13:03         18              6554473         2507271         1602269         
0:14:03         18              7017200         2678310         1715522         
0:15:03         18              7484102         2852157         1826776         
0:16:03         18              7953204         3030034         1942912         
0:17:03         18              8433930         3212786         2059307         
0:18:03         18              8906636         3380146         2165649         
0:19:03         18              9369977         3556595         2288186         
0:20:03         18              9838679         3730498         2405775         
0:21:03         18              10300621        3900872         2517104         
0:22:03         18              10769037        4060592         2615702         
0:23:03         18              11254100        4220418         2712113         
0:24:03         18              11746945        4377101         2799020         
0:25:03         18              12202919        4537995         2897928         
0:26:03         18              12669438        4699666         2993476         
0:27:03         18              13126991        4870145         3105598         
0:28:03         18              13598681        5034013         3195514         
0:29:03         18              14086706        5195007         3266582         
0:30:03         19              14571325        5365763         3356931         
0:31:03         19              15020024        5526940         3455490         
0:32:03         19              15491345        5703463         3560490         
0:33:03         19              15965598        5869714         3659278         
0:34:03         19              16406265        6036060         3768662         
0:35:03         19              16849313        6193605         3867818         
0:36:03         19              17297959        6345774         3963931         
0:37:03         19              17746936        6505992         4068121         
0:38:03         19              18202154        6673637         4176170         
0:39:03         19              18646258        6827367         4270339         
0:40:03         19              19073051        6983823         4374427         
0:41:03         19              19522357        7133760         4470002         
0:42:03         19              19976723        7273364         4551145         
0:43:03         19              20398549        7429899         4650337         
0:44:03         19              20837211        7591816         4750498         
0:45:03         19              21282546        7755281         4854245         
0:46:03         19              21721784        7917242         4956454         
0:47:03         19              22185670        8075996         5052988         
0:48:03         19              22635081        8231181         5145272         
0:49:03         19              23090331        8397666         5245491         
0:50:03         19              23536806        8559242         5345430         
0:51:03         19              23994693        8708988         5432525         
0:52:03         19              24439441        8865411         5535362         
0:53:03         19              24870763        9012565         5627441         
0:54:03         19              25320400        9176084         5739048         
0:55:03         19              25774092        9333498         5843006         
0:56:03         19              26221041        9494838         5949134         
0:57:03         19              26663314        9654586         6053106         
0:58:03         19              27107522        9804111         6148322         
0:59:03         19              27552253        9954244         6243152         
1:00:03         19              27991810        10107489        6339948         
1:01:03         19              28438681        10257233        6431256         
1:02:03         19              28874500        10410855        6526928         
1:03:03         19              29309056        10557614        6614879         
1:04:03         19              29750589        10692337        6691144         
1:05:03         19              30217316        10837130        6772027         
1:06:03         19              30651434        10975423        6851385         
1:07:03         19              31124331        11114335        6928184         
1:08:03         19              31585575        11268172        7018410         
1:09:03         19              32061000        11409841        7089640         
1:10:03         19              32515167        11550259        7164233         
1:11:03         19              32943929        11693503        7248933         
1:12:03         19              33392741        11838131        7328628         
1:13:03         19              33814280        11984897        7417249         
1:14:03         19              34263713        12131801        7498606         
1:15:03         19              34712193        12291204        7594369         
1:16:03         19              35144792        12456270        7709981         
1:17:03         19              35598783        12612798        7810045         
1:18:03         19              36035563        12768350        7907112         
1:19:03         19              36471237        12919777        7998144         
1:20:03         19              36917407        13065487        8075256         
1:21:03         19              37379066        13210993        8137093         
1:22:03         19              37845887        13360146        8193929         
1:23:03         20              38322571        13511067        8256713         
1:24:03         20              38777777        13669215        8341328         
1:25:03         20              39218641        13814219        8417089         
1:26:04         20              39628243        13958746        8507947         
1:27:04         20              40059948        14104808        8594352         
1:28:04         20              40502329        14264898        8685882         
1:29:04         20              40957175        14428552        8779341         
1:30:04         20              41407935        14582070        8865197         
1:31:04         20              41863035        14738496        8956769         
1:32:04         20              42325862        14890856        9045056         
1:33:04         20              42763032        15041684        9134660         
1:34:04         20              43159046        15180931        9226958         
1:35:04         20              43592988        15332366        9323365         
1:36:04         20              44027394        15481983        9412994         
1:37:04         20              44448230        15625768        9501573         
1:38:04         20              44878035        15764327        9586029         
1:39:04         20              45309595        15898944        9667935         
1:40:04         20              45745294        16036843        9749629         
1:41:04         20              46174075        16178215        9837718         
1:42:04         20              46596156        16318127        9927195         
1:43:04         20              47030046        16464873        10016755        
1:44:04         20              47467347        16615335        10113026        
1:45:04         20              47921821        16765346        10203854        
1:46:04         20              48362473        16925283        10303757        
1:47:04         20              48815604        17084449        10402160        
1:48:04         20              49263082        17229573        10482480        
1:49:04         20              49679245        17365750        10564962        
1:50:04         20              50080366        17502783        10651044        
1:51:04         20              50486284        17645903        10746491        
1:52:04         20              50905997        17788310        10837781        
1:53:04         20              51325067        17929277        10924081        
1:54:04         20              51760530        18069812        11010277        
1:55:04         20              52189982        18198127        11086996        
1:56:04         20              52618616        18320764        11155783        
1:57:04         20              53056160        18440683        11220197        
1:58:04         20              53448614        18560182        11283821        
1:59:04         20              53820613        18687988        11359266        
2:00:04         20              54187812        18821782        11442915        
2:01:04         20              54554626        18951562        11522812        
2:02:04         20              54926281        19084263        11603099        
2:03:04         20              55291388        19204027        11669652        
2:04:04         20              55677163        19342608        11752308        
2:05:04         20              56074396        19479185        11835791        
2:06:04         20              56455633        19612727        11915438        
2:07:04         20              56832161        19739669        11989318        
2:08:04         20              57218342        19869811        12063143        
2:09:04         20              57593326        20001939        12143089        
2:10:04         20              57973975        20137444        12227672        
2:11:04         20              58374679        20271226        12306194        
2:12:04         20              58773087        20396071        12377138        
