errors: 0, warnings: 0, exit_state: 0
Time            Diameter        States Found    Distinct States Queue Size      
0:00:00         0               1               1               1               
0:00:03         13              134507          59629           42271           
0:01:03         16              6641694         2668038         1904448         
0:02:03         16              13004986        5134415         3666771         
0:03:03         16              19629432        7691627         5497339         
0:04:03         17              26056342        10125429        7223668         
0:05:03         17              32588566        12646360        9003058         
0:06:03         17              39072927        15101640        10778070        
0:07:03         17              45591359        17535710        12542748        
0:08:03         17              52162675        20026282        14309735        
0:09:03         17              58728431        22544867        16098416        
0:10:03         17              65283839        24947848        17809943        
0:11:03         17              71960696        27375193        19580429        
0:12:03         18              78615106        29812358        21349132        
0:13:03         18              85167606        32334664        23136619        
0:14:03         18              91627737        34640423        24741540        
0:15:03         18              97761557        36895561        26316992        
0:16:03         18              104352117       39391412        28099421        
0:17:03         18              110849337       41840289        29797318        
0:18:03         18              117438795       44330766        31575724        
0:19:03         18              124074294       46810670        33357270        
0:20:03         18              130502932       49144441        35032282        
0:21:03         18              136926243       51517347        36743301        
0:22:03         18              143474226       53875649        38463391        
0:23:03         18              150046139       56302859        40203583        
0:24:03         18              156629684       58703438        41929843        
0:25:03         18              163459492       61213737        43789189        
0:26:03         18              170196066       63545448        45426963        
0:27:03         18              176780734       66013879        47212186        
0:28:03         18              183240679       68433650        48890251        
0:29:03         18              189701185       70881747        50653936        
0:30:03         18              196180720       73290479        52356094        
0:31:03         18              202637998       75698950        54081060        
0:32:03         18              209214245       78137706        55783409        
0:33:03         18              215783270       80625313        57559462        
0:34:03         18              222208509       82933015        59170667        
0:35:03         18              228690492       85152281        60738638        
0:36:03         18              235211129       87416997        62384628        
0:37:03         18              241793366       89733724        64067184        
0:38:03         18              248359273       92068615        65779898        
0:39:03         18              254950418       94433795        67521232        
0:40:03         19              261498021       96750303        69183230        
0:41:03         19              268014364       99068602        70907823        
0:42:03         19              274590666       101397482       72629888        
0:43:03         19              281122474       103738156       74299519        
0:44:03         19              287579616       106092918       75935190        
0:45:03         19              294140859       108531682       77666117        
0:46:03         19              300581237       110940139       79365601        
0:47:03         19              307046650       113386377       81104113        
0:48:03         19              313530592       115657388       82691513        
0:49:03         19              319917302       117854795       84181708        
0:50:03         19              326284319       120075413       85712478        
0:51:03         19              332747964       122421660       87355745        
0:52:03         19              339027930       124653591       88910316        
0:53:03         19              345430834       126927939       90490641        
0:54:03         19              351745765       129228762       92083045        
0:55:03         19              358239810       131624586       93768824        
0:56:03         19              364678946       133942369       95434002        
0:57:03         19              371173986       136392493       97219011        
0:58:03         19              377616813       138718030       98793290        
0:59:03         19              384014603       140980094       100323039       
1:00:04         19              390487607       143432358       102043788       
1:01:04         19              396889551       145763638       103692351       
1:02:04         19              403287067       148124143       105363514       
1:03:04         19              409744175       150513164       107066289       
1:04:04         19              416207442       152864201       108735957       
1:05:04         19              422665949       155244156       110430788       
1:06:04         19              429253234       157602641       112097905       
1:07:04         19              435755066       159947660       113786716       
1:08:04         19              442323410       162313982       115497158       
1:09:04         19              448821944       164648393       117222644       
1:10:04         19              455263759       166896458       118841903       
1:11:04         19              461523123       169149452       120437936       
1:12:04         19              467900483       171372816       121963091       
1:13:04         19              474275522       173719133       123648646       
1:14:04         19              480624697       175987662       125268088       
1:15:04         19              486353841       178040117       126764679       
1:16:04         19              492689369       180303182       128412912       
1:17:04         19              499198430       182524501       130015216       
1:18:04         19              505639745       184790129       131648375       
1:19:04         19              512287203       187154786       133376074       
1:20:04         19              518917878       189437012       134994742       
1:21:04         19              525410784       191791041       136691152       
1:22:04         19              531778696       194124812       138344345       
1:23:04         19              538298599       196505831       140043331       
1:24:04         19              544662882       198810368       141720971       
1:24:43         19              547997949       200000023       142579146       
