Time            Diameter        States Found    Distinct States Queue Size      
0:00:01         0               1               1               1               
0:00:04         10              46552           19673           13997           
0:01:04         13              1851446         720377          515762          
0:02:04         14              3671106         1402142         998915          
0:03:04         14              5473902         2087994         1489545         
0:04:04         14              7354975         2781238         1989062         
0:05:04         15              9164697         3432465         2442260         
0:06:04         15              11051729        4147010         2955329         
0:07:04         15              12935987        4836055         3447120         
0:08:04         15              14830460        5542822         3960454         
0:09:04         15              16629580        6191460         4416527         
0:10:04         15              18455206        6883685         4906663         
0:11:04         15              20424392        7619662         5441281         
0:12:04         15              22309836        8310918         5943450         
0:13:04         15              24227760        9006404         6453674         
0:14:04         15              26062470        9659726         6910478         
0:15:04         15              27918312        10312074        7361656         
0:16:04         15              29774413        10978698        7828905         
0:17:04         16              31555131        11598590        8259740         
0:18:04         16              33440304        12270075        8741685         
0:19:04         16              35358946        12964275        9237294         
0:20:04         16              37240160        13683877        9749266         
0:21:04         16              39169200        14407351        10270061        
0:22:04         16              41121520        15107662        10774388        
0:23:04         16              43019872        15800801        11274714        
0:24:04         16              44867680        16462739        11742466        
0:25:04         16              46675320        17110311        12202242        
0:26:05         16              48585505        17829751        12726469        
0:27:05         16              50529516        18552875        13256326        
0:28:05         16              52489742        19268181        13778328        
0:29:05         16              54328704        19899302        14223151        
0:30:05         16              56057912        20504926        14647500        
0:31:05         16              57932240        21189375        15129703        
0:32:05         16              59751458        21834112        15574928        
0:33:05         16              61593087        22511623        16047838        
0:34:05         16              63390391        23181319        16525776        
0:35:05         16              65308559        23902126        17040505        
0:36:05         16              67233390        24605215        17547314        
0:37:05         16              69197594        25328280        18072204        
0:38:05         16              71167788        26038147        18584075        
0:39:05         16              73071000        26718701        19075226        
0:40:05         16              75028800        27410243        19580645        
0:41:05         16              76946991        28098102        20073382        
0:42:05         16              78877885        28802267        20587895        
0:43:05         16              80731911        29466305        21073502        
0:44:05         16              82516777        30101104        21533282        
0:45:05         16              84502720        30813666        22056880        
0:46:05         16              86501914        31525900        22582665        
0:47:05         16              88352444        32178546        23048284        
0:48:05         16              90233924        32836362        23508144        
0:49:05         16              92063884        33471368        23945674        
0:50:05         16              93963156        34131916        24404278        
0:51:05         16              95789432        34756235        24827961        
0:52:05         16              97671069        35410487        25288099        
0:53:05         16              99556188        36101305        25767586        
0:54:05         16              101301092       36693740        26184558        
0:55:05         16              103168345       37361606        26655573        
0:56:05         16              105055227       38052292        27134359        
0:57:05         16              106899425       38706998        27585834        
0:58:05         17              108757630       39377120        28057402        
0:59:05         17              110594204       39972017        28470545        
1:00:05         17              112372890       40574915        28885582        
1:01:05         17              114253750       41229932        29354731        
1:02:05         17              116184098       41937531        29871620        
1:03:05         17              118110898       42589644        30340910        
1:04:05         17              120004399       43210126        30780808        
1:05:05         17              121888441       43876924        31255116        
1:06:05         17              123748874       44550411        31737176        
1:07:05         17              125694908       45318968        32284843        
1:08:05         17              127641943       46057198        32807392        
1:09:05         17              129543373       46756730        33301521        
1:10:05         17              131457885       47457904        33800538        
1:11:05         17              133390248       48179069        34313280        
1:12:05         17              135302533       48880168        34822111        
1:13:05         17              137163649       49562336        35310429        
1:14:05         17              139053506       50231924        35785230        
1:15:05         17              140979678       50913295        36270874        
1:16:05         17              142953281       51623429        36780493        
1:17:05         17              144922688       52318901        37287044        
1:18:05         17              146842321       52991308        37766154        
1:19:05         17              148817750       53675407        38261238        
1:20:05         17              150652295       54358252        38753991        
1:21:05         17              152625296       55084927        39290686        
1:22:05         17              154486732       55745486        39764378        
1:23:05         17              156298463       56379013        40203983        
1:24:05         17              158185296       57051600        40674641        
1:25:05         17              160083768       57752585        41173711        
1:26:05         17              161837449       58365221        41604281        
1:27:05         17              163625223       58972163        42031959        
1:28:05         17              165417562       59622591        42501544        
1:29:05         17              167353425       60331930        43013816        
1:30:06         17              169284467       61059545        43545348        
1:31:06         17              171215709       61762436        44055955        
1:32:06         17              173135417       62448814        44548013        
1:33:06         17              175127130       63197126        45098373        
1:34:06         17              177101868       63909612        45621217        
1:35:06         17              178956809       64591315        46127791        
1:36:06         17              180759505       65228925        46579724        
1:37:06         17              182664570       65920014        47082238        
1:38:06         17              184661195       66663026        47639151        
1:39:06         17              186655287       67345331        48135268        errors: 0, warnings: 0, exit_state: 0

1:40:06         17              188546022       67975666        48581712        
1:41:06         17              190466664       68668153        49075497        
1:42:06         17              192273768       69279361        49512078        
1:43:06         17              194088808       69883502        49921979        
1:44:06         17              195922325       70501522        50341553        
1:45:06         17              197574873       71071017        50742670        
1:46:06         17              199407818       71711185        51194163        
1:47:06         17              201217115       72328662        51621071        
1:48:06         17              203113407       73019144        52109981        
1:49:06         17              205043499       73743492        52628395        
1:50:06         17              206913597       74403171        53075990        
1:51:06         17              208671402       74999629        53488754        
1:52:06         17              210483939       75625914        53905784        
1:53:06         17              212235857       76271556        54365494        
1:54:06         17              214056843       76921465        54818259        
1:55:06         17              215929604       77605744        55295300        
1:56:06         17              217788975       78298195        55781947        
1:57:06         17              219600365       78905452        56196142        
1:58:06         17              221499652       79620861        56706637        
1:59:06         17              223391184       80345001        57233878        
2:00:06         17              225311286       81043862        57733817        
2:01:06         17              227210202       81738194        58231513        
2:02:06         17              229122532       82446269        58728864        
2:03:06         17              230952894       83132592        59217054        
2:04:06         17              232871681       83815531        59701880        
2:05:06         17              234795594       84499285        60189629        
2:06:06         17              236681184       85174657        60679850        
2:07:06         17              238620854       85861914        61166675        
2:08:06         17              240563922       86539707        61648297        
2:09:06         17              242512303       87253394        62170222        
2:10:06         17              244440509       87932769        62660811        
2:11:06         17              246370284       88625798        63171995        
2:12:06         17              248290885       89276695        63631446        
2:13:06         17              250155066       89950184        64117129        
2:14:06         17              252103244       90629688        64605372        
2:15:06         17              254058074       91309289        65095890        
2:16:06         17              256031201       92012475        65595757        
2:17:06         17              257965600       92664517        66062664        
2:18:06         17              259884397       93332171        66543325        
2:19:06         17              261795795       93976544        67003691        
2:20:06         17              263742982       94649897        67501601        
2:21:06         17              265685349       95346723        68020665        
2:22:06         17              267616260       96019233        68512531        
2:23:06         17              269463692       96680652        68984362        
2:24:06         17              271397519       97371692        69478211        
2:25:06         17              273254287       98012464        69933169        
2:26:06         17              275159454       98671509        70403032        
2:27:06         17              277119896       99366899        70913568        
2:28:05         17              278887421       100000024       71384730        
