Time            Diameter        States Found    Distinct States Queue Size      
2:11:05         21              265385452       83368021        47621634        
2:12:05         21              267440883       83996471        48004299        
2:13:05         21              269479816       84673582        48427302        
2:14:05         21              271499090       85322207        48817569        
2:15:05         21              273492245       85906149        49135089        
2:16:05         21              275393191       86446329        49415344        
2:17:05         21              277383863       87077890        49757088        
2:18:05         21              279399825       87735343        50132509        
2:19:05         21              281463411       88355885        50457248        
2:20:05         21              283478465       88918839        50710368        
2:21:05         21              285462415       89511603        51002995        
2:22:05         21              287463936       90114888        51366851        
2:23:05         21              289492334       90731348        51715998        
2:24:05         21              291499792       91355564        52055648        
2:25:05         21              293497722       91924052        52366441        
2:26:05         21              295611551       92514437        52696598        
2:27:05         21              297654188       93075194        52989211        
2:28:05         21              299709977       93702844        53345004        
2:29:05         21              301804397       94316883        53700983        
2:30:06         21              303899784       94905906        54029210        
2:31:06         21              305937093       95486312        54348928        
2:32:06         21              307987237       96084392        54691147        
2:33:06         21              310022659       96613400        54963880        
2:34:06         21              311978026       97101023        55197487        
2:35:06         21              313864111       97590008        55429428        
2:36:06         21              315926265       98119746        55687714        
2:37:06         21              317951448       98628362        55925446        
2:38:06         21              319989001       99183316        56210281        
2:39:06         21              321986849       99677636        56431263        
2:40:06         21              323929358       100147908       56637837        
2:41:06         21              325914452       100641050       56854852        
2:42:06         21              327893630       101269568       57163430        
2:43:06         21              329885270       101842991       57456670        
2:44:06         21              331878738       102383110       57703430        
2:45:06         21              333781825       102911933       57960912        
2:46:06         21              335805865       103527468       58271577        
2:47:06         21              337880732       104182886       58629244        
2:48:06         21              339939551       104805161       58958587        
2:49:06         21              341958150       105406819       59266010        
2:50:06         22              343971681       105985316       59550780        
2:51:06         22              345909304       106521479       59783114        
2:52:06         22              347889183       107095917       60044996        
2:53:06         22              349882231       107680232       60329129        
2:54:06         22              351902145       108253609       60593405        
2:55:06         22              353799039       108778848       60821951        
2:56:06         22              355778819       109299750       61032598        
2:57:06         22              357800446       109836353       61257470        
2:58:06         22              359822112       110388980       61501793        
2:59:06         22              361834778       110899608       61699994        
3:00:06         22              363824457       111477391       61991354        
3:01:06         22              365775216       111987194       62195857        
3:02:06         22              367722018       112608649       62564273        
3:03:06         22              369643857       113208658       62894996        
3:04:06         22              371582524       113809305       63236461        
3:05:06         22              373458998       114369695       63522019        
3:06:06         22              375410953       114886277       63766628        
3:07:06         22              377330627       115513673       64107824        
3:08:06         22              379249408       116050441       64369793        
3:09:06         22              381175297       116678099       64735496        
3:10:06         22              383099613       117299114       65083656        
3:11:06         22              385030639       117884770       65391620        
3:12:06         22              386944687       118459896       65688630        
3:13:06         22              388876627       119063415       65994864        
3:14:06         22              390785445       119703886       66366022        
3:15:06         22              392714854       120298458       66685008        
3:16:06         22              394569354       120832986       66945362        
3:17:06         22              396520192       121398434       67214231        
3:18:06         22              398470949       121971176       67505250        
3:19:06         22              400435110       122558831       67818858        
3:20:06         22              402383221       123104430       68086948        
3:21:06         22              404351306       123673323       68374275        
